Name,Account(s),Socials,TikTok,Notes / Status,,,,,Pass 2 TikTok Status,Pass 2 Confidence,Pass 2 Source,Pass 2 Notes
Kimberly Snyder,@_kimberlysnyder,"IG, Podcast",https://www.tiktok.com/@_kimberlysnyder,"NYT bestselling author, holistic nutritionist, gut-focused detox programs",,,,,,,,
"Danielle Bublitz, RDN",@gut.health.nutritionist,IG,,"Digestive nutrition, postbiotics and FODMAPs expert",,,,,,,,
Rachel Scheer,@rachelscheer,"IG, Podcast, TikTok",https://www.tiktok.com/@rachelscheernutrition,"Functional medicine nutritionist, gut-focused transformation coach",,,,,,,,
Kaitlin Smith,@dr.kait.smith,"IG, TikTok",,"Holistic chiropractor, gut-brain connection, vagus nerve work",,,,,,,,
"Autumn Bates, CN",@autumnelle_nutrition,"YT, IG",https://www.tiktok.com/@autumn_bates_,"Certified nutritionist, gut reset protocols and digestive optimization",,,,,,,,
Dr. Tyna Moore,@drtyna,"IG, Podcast",@drtyna,"Naturopathic doctor, gut-microbiome + strength coach crossover",,,,,,,,
Danielle Bublitz,@gut.health.nutritionist,IG,,"Digestive RD; postbiotics, FODMAP-friendly nutrition, SIBO content",,,,,,,,
Kelly Seely,@healthwithkellyseely,"IG, TikTok",,"Gut & hormone balancing for moms, real-food gut resets",,,,,,,,
Abbey Rivera,@abbeytherd,"TikTok, IG",,"Gut bloating educator, 250K+ TikTok, strong engagement for Gen Z/Millennial women",,,,,,,,
Lauren Papanos,@functional.fueling,IG,,"Sports RD focusing on gut, metabolism & hormones",,,,,"checked, unresolved",low,https://www.functionalfueling.com/,Reviewed official site in this pass; no public TikTok handle surfaced.
Maddie Miles,@themaddiemiles,"IG, Podcast",@themaddiemiles,"Women's health + gut-mood connection, wellness education with Gen Z tone",,,,,added handle,high,https://urlebird.com/user/themaddiemiles/,Urlebird result matched the creator name and showed the TikTok account @themaddiemiles.
Alex Ryman,@alex.ryman,TikTok,,"Simple breakdowns of pre/postbiotics and probiotics, high credibility",,,,,,,,
Sarah Russo,@bloatingbellydiaries,IG,,"Digestive freedom and food education, clean & humorous approach",,,,,,,,
Andi Fit,@andi.fit,"IG, TikTok",,Gut-friendly meal preps and workout digestion tips,,,,,,,,
Taylor Elyse Morrison,@taylorelysemorrison,"IG, Podcast",,"Talks stress, vagus nerve, nervous system, with gut-brain connection",,,,,,,,
Kaitlyn Donnelly,@nourishwithkait,"IG, Blog",,"Bloat relief, nervous system and digestive synergy, approachable tone",,,,,,,,
Jasmine Shea,@your.healthiest.self,"IG, TikTok",,"Supplements, rituals, gut-brain calm, functional nutrition",,,,,,,,
"Meg Gerber, RD",@groundednourishment,"IG, Blog",https://www.tiktok.com/@groundednourish,RD focused on root-cause gut healing + food-as-medicine lifestyle,,,,,,,,
"Brooke Scheller, DCN",@drbrookescheller,IG,@drbrookescheller,Gut + brain + alcohol detox; founder of Functional Sobriety™,,,,,added handle,high,https://podcasts.apple.com/us/podcast/071-functional-sobriety-with-dr-brooke-scheller/id1525780415?i=1000622132479,Podcast show notes explicitly said: Follow Dr. Brooke on Instagram and TikTok @drbrookescheller.
"Sarah Greenfield, RD",@fearlessfig,"IG, Podcast",https://www.tiktok.com/@fearlessfig,Functional RD focused on microbiome and poop education for adults,,,,,"TikTok likely exists, handle not surfaced",medium,https://linktr.ee/sarahtonincoaching,"Linktree search result was titled ""Sarah Greenfield | Instagram, TikTok | Linktree"", but the TikTok handle itself did not surface publicly."
"Lauren Manaker, RD",@nutrition_lauren,"IG, Blog",,"Men’s and women’s digestive health + supplement content, very credible",,,,,,,,
"Vanessa Rissetto, RD",@vanessarissettord,IG,,"CEO of Culina Health; talks gut symptoms, food triggers, and empowerment",,,,,,,,
Ali Bonar,@avokween,"IG, TikTok",@alibonar,"Founder of Oat Haus; gut-healthy snacks, vulnerable gut journey shared",,,,,added handle,high,https://urlebird.com/user/alibonar/,Urlebird indexed Ali Bonar's TikTok as @alibonar; Linktree also had a TikTok entry.
Kayla Barnes,@kaylabarnes,"IG, Podcast",https://www.tiktok.com/@femalelongevity,Biohacker and brain-health optimizer with gut-brain content crossover,,,,,,,,
Bethany Ugarte,@lilsipper,"IG, Blog",@lilsipper_official,"Gut healing through recipes, 400K+ followers, strong community trust",,,,,,,,
"Abby Courtenay, RD",@abbycourtenay_rd,"IG, YouTube",,Digestive issues in adults + gut/skin/liver content for women,,,,,,,,
"Dana Monsees, CNS",@realfoodwithdana,"IG, Blog",,"Anti-diet nutritionist, works with IBS and women’s gut balance",,,,,,,,
"Jenna Hope, MSc",@jennahopenutrition,"IG, TikTok",https://www.tiktok.com/@jennahopenutrition,"UK-based but popular in U.S. gut/microbiome sphere, science-forward",,,,,,,,
Jassy Davis,@gutfulness,IG,,"Everyday gut wellness, gentle habits, strong Reels presence",,,,,,,,
Mary Cristine,@marycriistine,IG,,Award-winning gut specialist,,,,,,,,
Dr. Pal Manickam,@Dr.Pal.Manickam,IG,https://www.tiktok.com/@askdocpal,Gastroenterologist 1.7 MM followers on IG,,,,,,,,
SHAYNA TERESE TAYLOR,@shayana,IG,,,,,,,,,,
KIDS,,,,,,,,,,,,
Katie Ferraro,@babyledweanteam,"IG, Podcast",@babyledweanteam,"Pediatric dietitian, popular podcast on feeding babies/toddlers, gut-friendly food",,,,,,,,
Jennifer Anderson,@kids.eat.in.color,"IG, YouTube, Web",@kids.eat.in.color,"Pediatric nutritionist, clean kids eating, 2M+ IG, gut-friendly advice",,,,,,,,
Dr. Nicole Beurkens,@drnicolebeurkens,"IG, Podcast",@drnicolebeurkens,Psychologist & nutritionist; gut-brain + behavioral connection in kids,,,,,,,,
Nourishing Littles (Ayla),@nourishinglittles,"IG, Web",,"Mom-focused functional nutrition for toddlers, gut health meals",,,,,,,,
The Nutrition Doula (Morgan Jackson),@thenutritiondoula,"IG, Blog",,"Holistic baby gut development, postnatal nutrition, food introductions",,,,,"checked, unresolved",low,https://thenutritiondoula.com/,Reviewed public site/social presence in this pass; no clear public TikTok handle surfaced.
Raising Tiny Foodies (Sam),@raisingtinyfoodies_,"IG, TikTok",,Gut-friendly baby-led weaning tips and toddler digestion tips,,,,,,,,
Dr. Emily Hecker,@thegutdr,IG,,Naturopathic doctor-mom with toddler gut and immune support content,,,,,,,,
"Kate Turner, RD",@the.kate.turner,IG,,"RD + mom, specializes in kids’ immune support and food sensitivities",,,,,,,,
Kelly Leveque,@bewellbykelly,"IG, Podcast",https://www.tiktok.com/@bewellbykelly,"Mom + holistic nutritionist, speaks about gut health from infancy",,,,,"checked, unresolved",low,https://bewellbykelly.com/,Reviewed official site in this pass; no public TikTok handle surfaced.
"Tiffani Ghere, RD",@thenutritionmama,IG,,"Pediatric dietitian, kid gut health + allergy-friendly education",,,,,,,,
Michelle Tagge,@purelynourished.kids,IG,,"Mom + wellness coach, immune and digestion content for littles",,,,,,,,
Talia Furhman,@taliafuhrman,"IG, Web",,"Plant-based author + science communicator, kids’ digestion and immune content",,,,,,,,
The Simple Lunchbox (Tess),@thesimplelunchbox,"IG, TikTok",,"Easy clean lunches for kids’ gut health, digestible educational content",,,,,,,,
Amy Gonzalez,@mamadoctorjones,"IG, YT, TikTok",@mamadoctorjones,Pediatric OB-GYN; speaks on gut-health impact in early development,,,,,,,,
"Stephanie Middleberg, RD",@middlebergrd,IG,,"Family & pediatric RD, wrote “The Big Book of Organic Baby Food”",,,,,,,,
Megan Garcia,@megangarcia,"IG, Blog",,"Infant nutritionist; focuses on baby digestion, bone broth, early microbiome care",,,,,,,,
"Whitney Crouch, RDN",@whitneycrouch.rd,IG,,Clean kids’ gut health and skin connection; strong Eczema/GI crossover,,,,,,,,
"Leah Silberman, RD",@thedailydish_rd,"IG, TikTok",,Pediatric-focused gut tips and immune-supportive meal content,,,,,,,,
"Erin Kinney, ND",@dr.erinkinney,IG,https://www.tiktok.com/@drkinney,Naturopathic doctor & mom; gut-adrenal-immune axis focus for families,,,,,,,,
"Angela Pifer, FNTP",@sibo.solution,IG,,"Specializes in SIBO, IBS in kids and families; practical digestion-first content",,,,,,,,
"Marissa Beck, MS, RDN",@marissabecknutrition,IG,,"RD & mom; school-lunch digestion, immunity-boosting food hacks",,,,,,,,
Jacqueline Pirtle,@freakyhealer,IG,,Energy-focused mom + wellness coach; teaches gut & emotional health for kids,,,,,,,,
"Allison Holm, RDN",@holistic.alli,IG,,Gut-healing meal ideas for toddlers and kids with food sensitivities,,,,,,,,
"Diana Rice, RD",@anti.diet.kids,IG,,"Anti-diet RD focused on child feeding relationships, gut-happy family strategies",,,,,,,,
Danielle Shea Tan,@daniellesheatan,IG,,"Functional nutritionist and mom; gut-brain-immune triangle, eczema-safe food",,,,,,,,
Nourished Little Ones,@nourishedlittleones,IG,,Pediatric meal ideas for gut and immune support; clean snack brands featured,,,,,,,,
The Functional Table (Ali),@thefunctionaltable,IG,,Holistic mom with digestion-first family recipes and supplement reviews,,,,,,,,
"Stephanie Gruenke, RD",@stephgruenke,IG,,"Dietitian & mom, specializes in toddler digestion + picky eaters",,,,,,,,
Courtney Dunlop,@goodcleanwine + @goodcleanglow,IG,,"Clean living mom founder, occasional content on immune-friendly family meals",,,,,,,,
Clean Foodie Mom (Julia),@cleanfoodiemom,IG,,"Real-food mom, organic snack reviews, clean-label digestive health for kids",,,,,,,,
Chanelle Cozette (@chanellecozette),@chanellecozette,Instagram,https://www.tiktok.com/@chanellecozette,"Gut health educator, Micro-tier (20k). RD background. Outreach: DM + small paid or affiliate",,,,,,,,
Whitney (@restored_nutrition),@restored_nutrition,Instagram,https://www.tiktok.com/@restored_nutrition,"Functional nutritionist, Micro-tier (18k). Gut-focused. Outreach: DM + small paid or affiliate",,,,,,,,
Alina (@hopefulfoodfinds),@hopefulfoodfinds,Instagram,https://www.tiktok.com/@hopefulfoodfinds,"Health-conscious mom influencer, Micro-tier (46k). High engagement. Outreach: Gifted + UGC repurpose",,,,,,,,
@socalgastrodoc,@socalgastrodoc,TikTok,@socalgastrodoc,"Gastroenterologist, Mid-tier (153k). Science-focused. Outreach: Affiliate or rev-share",,,,,,,,
Dr. Austin (@austinchiangmd),@austinchiangmd,TikTok,@austinchiangmd,"GI physician, Large following (570k). Outreach: Affiliate or rev-share",,,,,,,,
Dr. Elena Ivanina (@gut_love),@gut_love,TikTok,,Integrative pediatric GI MD. Mid-tier. Bridges gut + kids. Outreach: Affiliate or small paid,,,,,"checked, unresolved",low,https://www.gutlove.com/,Reviewed Gut Love public pages in this pass; no clear public TikTok handle for Dr. Elena Ivanina surfaced.
